feature,gain_importance,split_importance
temperature_f_window_24_mean,136411953.61704254,864
temperature_f_window_24_max,23697105.72998619,267
temperature_f_t0,23543634.79793167,1234
hour_cos_t0,23044081.302955627,1426
hour_sin_t0,15783348.86749649,2351
temperature_f_window_48_mean,12760793.561710358,338
temperature_f_window_6_delta_from_mean,9188001.297782898,473
hour_t0,8785300.113212585,1287
temperature_f_lag_16,7806527.190357208,543
temperature_f_window_3_delta_from_mean,7585088.743171692,354
day_of_year_cos_t0,6962252.641895294,2118
temperature_f_lag_1,6600966.227027893,351
wind_dir_cos_t0,3358236.910320282,1344
dew_point_f_t0,2828769.6549568176,641
cond_fair_t0,2434060.8647003174,617
pressure_in_window_24_delta_from_mean,2347744.249261856,1048
dew_point_f_window_3_mean,1356131.752494812,498
pressure_in_window_12_delta_from_mean,1309530.1816749573,613
dew_point_f_lag_1,1290286.250717163,217
temperature_f_window_3_min,1068794.7074050903,257
temperature_f_window_12_delta_from_mean,1060211.871547699,297
temperature_f_window_3_mean,1004978.2599945068,399
pressure_in_window_6_delta_from_mean,889201.8391647339,463
wind_speed_mph_window_12_mean,802495.3453521729,770
temperature_f_window_12_max,785018.4562454224,306
day_of_year_sin_t0,763408.9236717224,954
wind_dir_sin_t0,727474.1232261658,901
dew_point_f_window_24_delta_from_mean,672211.2604560852,518
wind_speed_mph_window_6_max,546414.7543067932,293
time_idx_t0,491936.05605506897,1090
wind_speed_mph_window_6_mean,469935.9483604431,433
temperature_f_window_6_max,466715.94828414917,197
month_cos_t0,414188.1623802185,369
temperature_f_window_3_std,410558.2314071655,136
temperature_f_window_3_max,407473.76600265503,172
temperature_f_window_96_mean,405674.9364852905,543
pressure_in_window_24_std,388176.72730636597,529
wind_speed_mph_window_12_max,363455.64889907837,343
temperature_f_window_12_min,354142.27921295166,148
temperature_f_window_12_mean,347856.9162826538,262
dew_point_f_window_3_min,332873.060295105,161
humidity_pct_lag_16,313560.921005249,301
temperature_f_lag_2,308932.28830718994,186
temperature_f_window_6_mean,302632.6427230835,225
dew_point_f_window_48_delta_from_mean,295186.4558029175,323
temperature_f_window_48_max,294946.5271835327,227
temperature_f_lag_12,290523.71715545654,153
wind_speed_mph_window_24_mean,283861.10819244385,600
dew_point_f_lag_2,268412.7816505432,133
temperature_f_window_96_max,250083.27837371826,245
month_sin_t0,243334.15807151794,183
cond_thunder_t0,230098.90272521973,95
pressure_in_window_48_std,227106.94326210022,500
pressure_in_window_12_std,216595.9062385559,388
temperature_f_window_24_delta_from_mean,208853.4330329895,433
pressure_in_window_48_delta_from_mean,196791.29569244385,383
pressure_in_window_3_delta_from_mean,190615.69731521606,270
dew_point_f_window_3_max,187761.08819580078,115
wind_speed_mph_window_3_mean,187657.35118103027,186
wind_speed_mph_window_48_std,180318.23737716675,515
dew_point_f_window_96_mean,177749.19093322754,361
dew_point_f_window_6_mean,173362.6635017395,233
temperature_f_window_24_std,168501.9730386734,426
humidity_pct_window_96_std,167373.0834083557,425
wind_speed_mph_window_3_max,166422.3880329132,148
temperature_f_window_6_min,160830.2180404663,124
temperature_f_window_48_delta_from_mean,160306.0260696411,358
humidity_pct_window_24_mean,154164.12999725342,337
pressure_in_window_96_delta_from_mean,154076.9612979889,396
wind_speed_mph_window_96_std,147549.37030410767,440
pressure_in_window_96_std,147459.46367263794,416
pressure_in_window_24_min,145172.65892791748,167
wind_speed_mph_window_24_std,144699.12427711487,418
wind_speed_mph_window_96_mean,144620.5202293396,409
humidity_pct_window_24_std,143640.95540618896,405
humidity_pct_window_96_mean,141972.08451843262,413
dew_point_f_window_12_mean,141197.90067481995,248
dew_point_f_window_96_delta_from_mean,140483.60540008545,295
wind_speed_mph_window_48_mean,139616.17379760742,396
temperature_f_window_48_std,134935.67919158936,377
humidity_pct_window_6_mean,132584.4223060608,162
pressure_in_lag_16,132017.82814788818,224
dew_point_f_window_6_min,131434.95183944702,106
dew_point_f_window_12_delta_from_mean,130249.17887115479,243
pressure_in_lag_24,129562.27035140991,229
humidity_pct_window_48_std,128812.06195449829,348
pressure_in_window_24_mean,126358.3232498169,284
dew_point_f_window_48_std,125453.24052810669,400
cond_rain_t0,123184.77030944824,106
dew_point_f_window_96_std,121552.01499176025,412
temperature_f_window_6_std,119466.30121612549,196
cond_fog_t0,117890.33660888672,75
pressure_in_window_3_mean,117532.68398857117,153
humidity_pct_window_24_min,116799.08081054688,287
humidity_pct_window_48_mean,116273.46841430664,316
dew_point_f_window_96_max,114640.44245529175,226
wind_speed_mph_window_12_std,114270.28033828735,280
