feature,gain_importance,split_importance
temperature_f_window_24_mean,135131474.68375015,976
temperature_f_t0,23878240.527770996,1234
hour_cos_t0,23190801.11871338,1618
temperature_f_window_24_max,23162133.027244568,300
hour_sin_t0,15894448.464054108,2589
temperature_f_window_48_mean,12610883.667272568,391
temperature_f_window_6_delta_from_mean,9499652.14950943,581
hour_t0,8351767.972156525,1407
temperature_f_lag_16,7959829.489536285,624
temperature_f_window_3_delta_from_mean,7203845.976474762,513
day_of_year_cos_t0,6965018.039678574,2433
temperature_f_lag_1,6238513.784267426,363
wind_dir_cos_t0,3338320.3251132965,1430
dew_point_f_t0,2943965.0660743713,677
pressure_in_window_24_delta_from_mean,2444393.5090065002,1195
cond_fair_t0,2441347.055503845,622
dew_point_f_lag_1,1375585.706817627,240
dew_point_f_window_3_mean,1227441.630722046,505
temperature_f_window_12_delta_from_mean,1180640.5504837036,387
temperature_f_window_3_min,1139716.4533920288,236
pressure_in_window_12_delta_from_mean,1121913.6204624176,774
temperature_f_window_3_mean,1086378.5215473175,442
pressure_in_window_6_delta_from_mean,1059431.4096870422,513
wind_speed_mph_window_12_mean,811133.7607002258,924
day_of_year_sin_t0,786867.0991344452,1270
wind_dir_sin_t0,755544.7953472137,1112
temperature_f_window_12_max,736090.731180191,358
dew_point_f_window_24_delta_from_mean,701156.6450805664,650
wind_speed_mph_window_6_max,574133.500125885,358
time_idx_t0,528106.0908222198,1460
temperature_f_window_6_max,490284.908241272,247
wind_speed_mph_window_6_mean,488777.6804676056,572
month_cos_t0,420297.243144989,413
temperature_f_window_96_mean,417289.96342658997,650
temperature_f_window_12_mean,416196.1951980591,350
temperature_f_window_3_std,402640.6942138672,148
pressure_in_window_24_std,391494.8853111267,724
temperature_f_window_3_max,384479.02309036255,209
temperature_f_window_6_mean,360693.79726600647,294
wind_speed_mph_window_12_max,345793.8737678528,408
temperature_f_window_48_max,334720.15061187744,307
humidity_pct_lag_16,327894.9995918274,438
wind_speed_mph_window_24_mean,321700.5739326477,793
dew_point_f_window_3_min,313993.7126464844,162
dew_point_f_window_48_delta_from_mean,313571.82321357727,479
temperature_f_window_12_min,293461.01710510254,164
temperature_f_lag_12,280351.84363365173,197
temperature_f_lag_2,271427.57890701294,192
temperature_f_window_24_delta_from_mean,261456.3624572754,638
dew_point_f_lag_2,261433.99087524414,151
pressure_in_window_48_std,252017.32861709595,702
temperature_f_window_96_max,247719.72616577148,310
month_sin_t0,242976.66952896118,224
pressure_in_window_12_std,242737.30532836914,551
pressure_in_window_48_delta_from_mean,220802.3436126709,533
wind_speed_mph_window_48_std,216080.4248943329,726
cond_thunder_t0,211022.59648132324,90
temperature_f_window_24_std,210422.10104560852,712
humidity_pct_window_96_std,207187.4865913391,704
pressure_in_window_3_delta_from_mean,202404.24254608154,328
wind_speed_mph_window_3_mean,198213.9645023346,255
humidity_pct_window_24_mean,190109.95524787903,531
temperature_f_window_6_min,181085.23093795776,145
pressure_in_window_24_min,180314.54166412354,275
humidity_pct_window_48_std,179185.48743629456,624
dew_point_f_window_6_mean,176346.82137680054,304
humidity_pct_window_96_mean,176217.78305244446,631
dew_point_f_window_96_mean,175107.66501808167,505
pressure_in_window_96_std,174407.30684280396,690
pressure_in_window_96_delta_from_mean,173868.90521240234,557
wind_speed_mph_window_96_std,171764.27963256836,689
wind_speed_mph_window_24_std,171624.47314834595,635
wind_speed_mph_window_3_max,171548.65734481812,196
