feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
temperature_f_t0,995978768.678813,13789,165996461.44646883,2298.1666666666665
temperature_f_lag_1,326810779.96161175,3941,54468463.32693529,656.8333333333334
temperature_f_window_24_mean,173415248.66269207,4257,28902541.443782013,709.5
hour_cos_t0,87458870.47170925,14501,14576478.411951542,2416.8333333333335
hour_sin_t0,57084068.4874053,15668,9514011.41456755,2611.3333333333335
hour_t0,54657172.36085224,9896,9109528.726808706,1649.3333333333333
temperature_f_window_24_max,30496936.559906006,1952,5082822.759984334,325.3333333333333
temperature_f_window_3_mean,26774367.20211029,2214,4462394.533685048,369.0
temperature_f_window_3_max,24031680.169101715,1025,4005280.028183619,170.83333333333334
day_of_year_cos_t0,20485767.7530241,11689,3414294.625504017,1948.1666666666667
temperature_f_lag_16,18878690.17534542,3710,3146448.36255757,618.3333333333334
temperature_f_window_6_delta_from_mean,17156378.82008505,4509,2859396.470014175,751.5
temperature_f_window_3_delta_from_mean,14926661.846190453,5804,2487776.9743650756,967.3333333333334
temperature_f_window_48_mean,13207502.379879475,1663,2201250.3966465793,277.1666666666667
cond_fair_t0,9328103.148256302,4102,1554683.858042717,683.6666666666666
dew_point_f_t0,9105696.526165009,3180,1517616.087694168,530.0
wind_dir_cos_t0,7414144.769952774,7645,1235690.794992129,1274.1666666666667
dew_point_f_window_3_mean,5265209.917590141,2926,877534.9862650236,487.6666666666667
temperature_f_window_3_min,4462949.617529869,1365,743824.9362549782,227.5
pressure_in_window_24_delta_from_mean,4361376.950091362,5601,726896.1583485603,933.5
dew_point_f_lag_1,3372299.049510956,1124,562049.8415851593,187.33333333333334
temperature_f_window_12_delta_from_mean,2779388.035615444,2488,463231.3392692407,414.6666666666667
pressure_in_window_12_delta_from_mean,2759449.864686489,4653,459908.3107810815,775.5
temperature_f_window_12_max,2263439.1500706673,1570,377239.8583451112,261.6666666666667
wind_dir_sin_t0,2185887.776494503,5649,364314.6294157505,941.5
pressure_in_window_6_delta_from_mean,2141121.5961093903,3922,356853.59935156506,653.6666666666666
