rank,horizon_step,gru_weight,lightgbm_weight,val_mae,val_rmse,val_mape,val_r2
1,1,0.17,0.83,1.1728941350975033,1.6127081556044078,2.0058906952163604,0.9842564039495263
2,1,0.16,0.84,1.1729073546119784,1.6128590086468706,2.005843158171614,0.9842534584935456
3,1,0.18,0.8200000000000001,1.172945787492358,1.6126313616319914,2.0060411908276,0.984257903271634
4,1,0.15,0.85,1.1729871138792054,1.6130838999817203,2.005903056123569,0.9842490669036916
5,1,0.19,0.81,1.1730753387997288,1.6126286373097825,2.0063200192168917,0.9842579564598685
6,1,0.14,0.86,1.173152922717757,1.613382798648102,2.006105225221891,0.9842432291799647
7,1,0.2,0.8,1.1732571207943185,1.6126999830131565,2.0066864161319935,0.9842565635142299
8,1,0.13,0.87,1.1733814017976456,1.6137556635232617,2.0064195191856142,0.9842359453223645
9,1,0.21,0.79,1.1735145576212784,1.6128453889124466,2.007174518055958,0.984253724434718
10,1,0.12,0.88,1.1736612320451953,1.6142024433508015,2.0068202473341983,0.9842272153308912
11,1,0.22,0.78,1.1738442445198443,1.6130648349797105,2.0077749875423443,0.9842494392213331
12,1,0.11,0.89,1.1740099334123189,1.6147230767758503,2.007335743782202,0.9842170392055448
13,1,0.23,0.77,1.1742245378945515,1.6133582910025213,2.008453493576719,0.9842437078740751
14,1,0.1,0.9,1.174449010192403,1.6153174923870894,2.0080126011036166,0.9842054169463252
15,1,0.24,0.76,1.1746536892681023,1.6137257166047476,2.0092085513688187,0.9842365303929439
16,1,0.09,0.91,1.1749695609869184,1.6159856087655717,2.0088269362370728,0.9841923485532326
17,1,0.25,0.75,1.1751481531044363,1.6141670612743009,2.010075628606551,0.9842279067779396
18,1,0.08,0.92,1.175550928921062,1.616727334540253,2.009738383664388,0.9841778340262667
19,1,0.26,0.74,1.175704514393167,1.6146822643977956,2.011039559964125,0.9842178370290622
20,1,0.07,0.9299999999999999,1.176202917623902,1.6175425684501483,2.010763874670663,0.9841618733654278
21,1,0.27,0.73,1.176336296523011,1.6152712553020772,2.0121229074570777,0.9842063211463117
22,1,0.06,0.94,1.1769169717216748,1.6184311994130145,2.0118908638018613,0.9841444665707157
23,1,0.28,0.72,1.1770462217424922,1.615933953302541,2.0133388618665133,0.984193359129688
24,1,0.05,0.95,1.1776934866492714,1.619393106600454,2.0131194148771834,0.9841256136421305
25,1,0.29,0.71,1.17781425978442,1.616670267758174,2.014655359671752,0.9841789509791912
26,1,0.04,0.96,1.1785271147819811,1.6204281595193184,2.0144434082197136,0.9841053145796721
27,1,0.3,0.7,1.1786418296783625,1.6174800981332247,2.016062343730791,0.9841630966948212
28,1,0.03,0.97,1.1794151822964565,1.6215362180992867,2.0158593682233557,0.9840835693833406
29,1,0.31,0.69,1.1795306978593416,1.6183633340654138,2.017570081645681,0.984145796276578
30,1,0.02,0.98,1.18035170016416,1.622717132786483,2.017353827909941,0.9840603780531361
31,1,0.32,0.6799999999999999,1.1804823127822652,1.6193198554405654,2.0191855723133254,0.9841270497244619
32,1,0.01,0.99,1.181331886186853,1.6239707446429896,2.018922198629652,0.9840357405890583
33,1,0.33,0.6699999999999999,1.1815029074966954,1.6203495324735524,2.0209140530569085,0.9841068570384726
34,1,0.0,1.0,1.1823902714940204,1.625296885452102,2.0206258904746535,0.9840096569911074
35,1,0.34,0.6599999999999999,1.1825852491510584,1.6214522257954258,2.022745347805784,0.9840852182186101
36,1,0.35000000000000003,0.6499999999999999,1.1837267308941177,1.6226277865465937,2.0246826348370837,0.9840621332648744
