feature,gain_importance,split_importance
temperature_f_lag_16,144218148.80605698,630
temperature_f_window_24_mean,48214551.13259697,508
hour_sin_t0,17555154.952194214,2282
temperature_f_t0,13526000.216827393,987
day_of_year_cos_t0,9821679.350139618,2176
hour_t0,9413669.766158104,1273
hour_cos_t0,7607222.733734131,1389
wind_dir_cos_t0,6643750.035217285,1228
dew_point_f_t0,5203888.056240082,520
temperature_f_lag_1,5185926.504600525,320
cond_fair_t0,3219279.303577423,424
temperature_f_window_24_max,2663539.7511520386,315
pressure_in_window_24_delta_from_mean,2230193.676761627,1026
dew_point_f_lag_1,1869951.8233032227,171
temperature_f_window_6_delta_from_mean,1772051.0402374268,328
day_of_year_sin_t0,1518127.5985774994,1193
temperature_f_window_96_mean,1432181.7543525696,666
dew_point_f_window_24_delta_from_mean,1381649.992893219,472
temperature_f_window_3_mean,1341274.630241394,316
pressure_in_window_12_delta_from_mean,1159213.15807724,692
wind_speed_mph_window_12_mean,1099393.5929489136,815
temperature_f_window_3_delta_from_mean,1025526.2721595764,297
wind_dir_sin_t0,1012108.9164352417,974
dew_point_f_window_3_mean,998983.1917381287,372
temperature_f_window_6_max,867552.1031036377,303
temperature_f_window_12_mean,825096.6127700806,338
temperature_f_window_3_min,711042.6789245605,128
wind_speed_mph_window_6_max,704151.6905174255,302
pressure_in_window_24_std,625743.0122528076,564
wind_speed_mph_window_6_mean,616233.6903381348,478
dew_point_f_window_3_max,580225.2748146057,125
time_idx_t0,579360.0089874268,1141
temperature_f_window_3_max,552559.5650558472,207
month_sin_t0,532908.4772663116,225
temperature_f_window_12_max,518652.3892211914,263
month_cos_t0,504370.46396255493,316
temperature_f_window_6_min,458740.2424621582,92
wind_speed_mph_window_12_max,448070.6103515625,367
pressure_in_window_12_std,410390.3331832886,502
temperature_f_lag_12,381426.11322402954,187
temperature_f_window_48_max,375582.2625732422,322
temperature_f_window_6_mean,368916.06604385376,217
temperature_f_window_96_max,351572.8289222717,310
pressure_in_window_48_std,339899.2153968811,586
wind_speed_mph_window_24_mean,325676.74171829224,556
temperature_f_window_12_min,325319.09017181396,181
pressure_in_window_6_delta_from_mean,311597.66198349,286
pressure_in_lag_16,307079.8447151184,331
temperature_f_window_12_delta_from_mean,306337.74995040894,241
temperature_f_window_24_delta_from_mean,296672.9513397217,425
temperature_f_window_24_std,294875.03838539124,588
temperature_f_window_48_mean,292965.46539497375,368
pressure_in_window_24_min,261692.8812713623,218
dew_point_f_window_96_mean,259777.8796195984,450
dew_point_f_window_96_max,259580.02403259277,285
wind_speed_mph_window_96_std,254886.832239151,569
wind_speed_mph_window_96_mean,243289.73445129395,496
dew_point_f_lag_2,243237.28914260864,96
cond_fog_t0,241977.6795387268,128
wind_speed_mph_window_24_std,241196.17336845398,511
humidity_pct_window_96_std,239417.03436470032,477
wind_speed_mph_window_48_std,236322.9699192047,571
