feature,gain_importance,split_importance
temperature_f_lag_16,78225756.88131714,320
temperature_f_window_24_mean,23499279.76248169,150
hour_sin_t0,9740545.322784424,788
day_of_year_cos_t0,7475478.774978638,606
temperature_f_t0,7059563.657775879,325
hour_t0,4423067.760467529,395
hour_cos_t0,4390317.880554199,577
wind_dir_cos_t0,4000282.924133301,453
dew_point_f_t0,3649819.1201782227,201
temperature_f_lag_1,2603117.3001098633,85
cond_fair_t0,1723608.0883483887,190
pressure_in_window_24_delta_from_mean,1297413.1197814941,334
temperature_f_window_96_mean,1128113.5145568848,209
temperature_f_window_6_delta_from_mean,864475.8546295166,112
dew_point_f_window_24_delta_from_mean,833803.8356018066,162
dew_point_f_lag_1,785147.298828125,47
wind_speed_mph_window_12_mean,672988.7922363281,269
temperature_f_window_3_delta_from_mean,666958.4655303955,134
day_of_year_sin_t0,657107.6757354736,301
pressure_in_window_12_delta_from_mean,563520.0211791992,190
temperature_f_window_24_max,555577.3759460449,94
wind_dir_sin_t0,545629.846862793,315
dew_point_f_window_3_mean,534808.4087371826,116
temperature_f_window_3_mean,494417.2353515625,63
temperature_f_window_12_mean,493053.2746582031,78
temperature_f_window_6_max,364709.84091186523,71
temperature_f_window_6_min,344462.3903198242,28
wind_speed_mph_window_6_max,324016.30142211914,88
temperature_f_window_6_mean,323690.32345581055,57
pressure_in_window_24_std,307347.1419067383,134
wind_speed_mph_window_6_mean,306840.05810546875,136
dew_point_f_window_3_max,295647.0786743164,35
temperature_f_window_3_max,282600.5244140625,45
month_sin_t0,281755.23013305664,57
time_idx_t0,261816.19486999512,341
pressure_in_window_12_std,234952.26013183594,134
temperature_f_window_24_delta_from_mean,220851.04592895508,180
temperature_f_window_48_max,208244.63946533203,119
temperature_f_window_3_min,199136.70150756836,23
pressure_in_window_24_min,199119.3987121582,79
temperature_f_window_12_delta_from_mean,171103.4599609375,89
temperature_f_lag_12,168757.5835571289,35
wind_speed_mph_window_12_max,164737.89361572266,100
pressure_in_lag_16,163840.21812438965,110
dew_point_f_window_96_max,155799.71411132812,66
month_cos_t0,155439.58047485352,58
wind_speed_mph_window_24_mean,149537.9113922119,149
dew_point_f_window_12_delta_from_mean,140923.4033203125,48
dew_point_f_window_96_mean,137420.55522155762,139
temperature_f_window_96_max,130598.96514892578,59
cond_fog_t0,125540.74478149414,48
wind_speed_mph_window_48_std,122711.4369354248,175
humidity_pct_window_24_mean,117880.7766418457,129
temperature_f_window_12_min,115793.33364868164,58
temperature_f_window_48_mean,114967.69290161133,89
wind_speed_mph_window_3_mean,113618.29257202148,43
dew_point_f_lag_2,111631.29830932617,22
humidity_pct_lag_16,109792.70542907715,136
pressure_in_window_48_std,109438.0225982666,121
pressure_in_window_12_min,108234.71258544922,58
temperature_f_window_48_delta_from_mean,107622.49087524414,101
temperature_f_window_24_std,107070.990234375,151
dew_point_f_window_48_std,104466.82373046875,153
wind_speed_mph_window_96_std,102702.21957397461,135
wind_speed_mph_window_3_max,102390.84686279297,40
pressure_in_window_96_delta_from_mean,101419.45803833008,138
cond_thunder_t0,100266.77529907227,32
pressure_in_window_3_mean,100115.27108764648,54
humidity_pct_window_3_mean,96779.5433959961,55
pressure_in_window_12_max,95805.3861694336,89
pressure_in_lag_48,95480.10107421875,130
pressure_in_lag_24,94478.64859008789,65
dew_point_f_window_6_mean,93258.47763061523,73
pressure_in_window_48_delta_from_mean,92633.70114135742,90
humidity_pct_window_96_std,91732.74075317383,134
temperature_f_window_12_max,89890.23333740234,56
pressure_in_window_3_delta_from_mean,89611.91673278809,84
humidity_pct_window_24_std,89474.05084228516,138
dew_point_f_window_48_delta_from_mean,88914.73443603516,78
wind_speed_mph_window_96_mean,87568.64993286133,123
wind_speed_mph_window_24_std,85765.69696044922,134
humidity_pct_window_48_std,85102.46795654297,135
cond_rain_t0,84964.10000610352,52
humidity_pct_window_96_mean,84308.96215820312,129
humidity_pct_window_24_min,82040.22793579102,93
temperature_f_lag_2,78714.79376220703,19
pressure_in_window_6_delta_from_mean,78681.92459106445,54
pressure_in_window_96_mean,74781.36682128906,131
wind_speed_mph_window_48_mean,73353.85888671875,98
humidity_pct_window_96_min,72340.1157989502,94
dew_point_f_window_96_delta_from_mean,71563.74884033203,79
humidity_pct_window_48_min,70833.09094238281,104
pressure_in_window_96_std,70211.52406311035,106
pressure_in_window_12_mean,69799.94613647461,72
dew_point_f_window_96_std,69214.33999633789,122
temperature_f_window_96_min,68754.9892578125,67
wind_speed_mph_window_48_max,68026.34098815918,86
humidity_pct_window_6_mean,65791.26321411133,63
dew_point_f_window_48_mean,65644.47309875488,92
dew_point_f_window_48_min,61650.40026855469,84
humidity_pct_window_48_mean,60380.18786621094,89
