rank,horizon_step,gru_weight,lightgbm_weight,val_mae,val_rmse,val_mape,val_r2
1,1,0.17,0.83,1.1724242564048133,1.6118341669642273,2.005930172109392,0.9842910812302351
2,1,0.18,0.8200000000000001,1.1724490639311738,1.6116406082971735,2.0060926902072818,0.9842948538451526
3,1,0.16,0.84,1.172472873694117,1.6120991535195521,2.005887758472592,0.9842859156933216
4,1,0.19,0.81,1.1725459584261908,1.6115185032558932,2.0063708484056737,0.984297233538074
5,1,0.15,0.85,1.172588344685829,1.6124355327479178,2.0059547681756738,0.9842793572344118
6,1,0.2,0.8,1.172692822857904,1.6114678680830583,2.0067316144185665,0.9842982203089993
7,1,0.14,0.86,1.172783891049472,1.6128432599797409,2.006146400294215,0.984271405853506
8,1,0.21,0.79,1.1729006707511043,1.611488709515711,2.00719449838388,0.9842978141579284
9,1,0.13,0.87,1.1730505741443962,1.6133222811207022,2.006461767108184,0.9842620615506041
10,1,0.22,0.78,1.1731605692226785,1.6115810247807831,2.007740833659516,0.9842960150848614
11,1,0.12,0.88,1.173379539864645,1.6138725326875563,2.006886584546989,0.9842513243257062
12,1,0.23,0.77,1.1734907917383322,1.6117448015969396,2.0084076256186147,0.9842928230897984
13,1,0.11,0.89,1.1737532303710845,1.6144939418500768,2.0073859737256132,0.984239194178812
14,1,0.24,0.76,1.1738886586748596,1.6119800181827468,2.0091973658988707,0.9842882381727391
15,1,0.1,0.9,1.1741794933172076,1.615186426479081,2.0079692914943625,0.9842256711099218
16,1,0.25,0.75,1.1743402738190445,1.6122866432711496,2.010074434926568,0.9842822603336838
17,1,0.09,0.91,1.1746755071337085,1.6159498952004485,2.008664743941417,0.9842107551190354
18,1,0.26,0.74,1.174825843509094,1.6126646361302357,2.011009285753424,0.9842748895726324
19,1,0.08,0.92,1.175249337416598,1.6167842474550613,2.0094930897339043,0.9841944462061529
20,1,0.27,0.73,1.1753564662220248,1.6131139465902564,2.012018333444755,0.984266125889585
21,1,0.07,0.9299999999999999,1.1758958580689098,1.6176893735645694,2.010445674170346,0.9841767443712743
22,1,0.28,0.72,1.1759511673577516,1.6136345150768592,2.0131320192091366,0.9842559692845413
23,1,0.06,0.94,1.1766055118005474,1.618665154802883,2.0114986558083037,0.9841576496143997
24,1,0.29,0.71,1.1766197273614352,1.614226272650486,2.014372640229276,0.9842444197575015
25,1,0.3,0.7,1.1773483411735213,1.6148891410518689,2.0157096700001054,0.9842314773084657
26,1,0.05,0.95,1.1773714579994197,1.6197114634732832,2.012646073849657,0.9841371619355289
27,1,0.31,0.69,1.1781435872624084,1.615623032753562,2.0171497551841786,0.9842171419374337
28,1,0.04,0.96,1.1781901473774876,1.6208281629910375,2.0138829722856793,0.984115281334662
29,1,0.32,0.6799999999999999,1.1789849750011827,1.6164278510174226,2.0186653381329314,0.9842014136444057
30,1,0.03,0.97,1.17906667610132,1.6220151079713927,2.0152201247219543,0.984092007811799
31,1,0.33,0.6699999999999999,1.1798893682393168,1.6173034899579612,2.0202865838967536,0.9841842924293815
32,1,0.02,0.98,1.1800055843001445,1.6232721443228206,2.016664153691145,0.9840673413669399
33,1,0.34,0.6599999999999999,1.1808686846105643,1.618249834611458,2.0220326498429277,0.9841657782923612
34,1,0.01,0.99,1.180995565750981,1.6245991093453733,2.018189590129918,0.9840412820000847
35,1,0.35000000000000003,0.6499999999999999,1.1819295739899567,1.6192667610107463,2.023917521313035,0.9841458712333448
36,1,0.0,1.0,1.1820531910249623,1.625995831834007,2.0198279015513423,0.9840138297112333
37,1,0.36,0.64,1.1830540792818025,1.6203541362655471,2.0259037721589337,0.9841245712523323
38,1,0.37,0.63,1.184229466460104,1.6215118186482373,2.0279783439062884,0.9841018783493236
39,1,0.38,0.62,1.1854655639729306,1.62273965768492,2.0301512925638794,0.9840777925243189
40,1,0.39,0.61,1.1867471384742554,1.6240374942516693,2.0324003044910577,0.984052313777318
41,1,0.4,0.6,1.1880953341724205,1.6254051606758,2.0347531230029423,0.9840254421083211
42,1,0.41000000000000003,0.59,1.189493896127935,1.6268424808420192,2.037190401406603,0.9839971775173281
43,1,0.42,0.5800000000000001,1.190959528095609,1.6283492703033102,2.0397358257927696,0.9839675200043388
44,1,0.43,0.5700000000000001,1.1924906178071237,1.6299253363963762,2.042390096113904,0.9839364695693537
45,1,0.44,0.56,1.1940768297556819,1.6315704783614986,2.0451322317302765,0.9839040262123723
46,1,0.45,0.55,1.1957292177908034,1.6332844874666235,2.0479850730799125,0.9838701899333947
47,1,0.46,0.54,1.1974513081923577,1.6350671471355125,2.050953788069384,0.9838349607324212
48,1,0.47000000000000003,0.53,1.199229018024959,1.6369182330797802,2.0540157524260736,0.9837983386094514
49,1,0.48,0.52,1.201067559183849,1.6388375134346314,2.0571765482525723,0.9837603235644855
50,1,0.49,0.51,1.2029695119923165,1.6408247488981251,2.0604434020686053,0.9837209155975236
51,1,0.5,0.5,1.204923704147229,1.6428796928737648,2.063797671155377,0.9836801147085655
52,1,0.51,0.49,1.2069327485283246,1.6450020916162413,2.067243148819786,0.9836379208976114
53,1,0.52,0.48,1.2090030303969141,1.647191684380125,2.0707898682365466,0.9835943341646611
54,1,0.53,0.47,1.2111196296476978,1.6494482035713247,2.07441640394306,0.9835493545097147
55,1,0.54,0.45999999999999996,1.2132853070675582,1.651771374901115,2.078123008296267,0.9835029819327722
56,1,0.55,0.44999999999999996,1.2155059241885942,1.6541609175425407,2.0819194609882508,0.9834552164338336
57,1,0.56,0.43999999999999995,1.217777717902821,1.6566165442890073,2.085800439378984,0.9834060580128989
58,1,0.5700000000000001,0.42999999999999994,1.2201058371857199,1.659137961714859,2.089775683248673,0.9833555066699681
59,1,0.58,0.42000000000000004,1.222484124772209,1.6617248703377563,2.093836305274955,0.9833035624050411
60,1,0.59,0.41000000000000003,1.2249024086519351,1.6643769647826605,2.0979626174208876,0.9832502252181181
61,1,0.6,0.4,1.2273611937300444,1.6670939339472333,2.1021569254353025,0.9831954951091989
62,1,0.61,0.39,1.229878303619689,1.6698754611684652,2.10644680301202,0.9831393720782837
63,1,0.62,0.38,1.2324532638076016,1.6727212243903462,2.1108320459595813,0.9830818561253724
64,1,0.63,0.37,1.235081711360418,1.6756308963323916,2.115312686275691,0.9830229472504648
65,1,0.64,0.36,1.2377602440533917,1.678604144658848,2.1198755923143007,0.9829626454535613
66,1,0.65,0.35,1.2404840701529696,1.6816406321483917,2.124513838396835,0.9829009507346615
67,1,0.66,0.33999999999999997,1.2432461862406414,1.6847400168641553,2.129212857572687,0.9828378630937658
68,1,0.67,0.32999999999999996,1.246055191890924,1.6879019523239016,2.133988834710174,0.9827733825308738
69,1,0.68,0.31999999999999995,1.248908849237454,1.6911260876701815,2.1388398085440183,0.9827075090459857
70,1,0.6900000000000001,0.30999999999999994,1.2518132098637609,1.6944120678403116,2.143773610635719,0.9826402426391015
71,1,0.7000000000000001,0.29999999999999993,1.2547628301074067,1.6977595337360123,2.14878193702152,0.9825715833102213
72,1,0.71,0.29000000000000004,1.2577559125491418,1.7011681223925434,2.153857891424383,0.982501531059345
73,1,0.72,0.28,1.260783404650189,1.7046374671472044,2.1589909798020184,0.9824300858864725
74,1,0.73,0.27,1.2638562147262578,1.7081671978070272,2.164200535291939,0.9823572477916039
75,1,0.74,0.26,1.266984084690968,1.7117569408155466,2.169497039488243,0.9822830167747392
76,1,0.75,0.25,1.270175272490381,1.7154063194184923,2.17490260036715,0.9822073928358784
77,1,0.76,0.24,1.2733989849801477,1.71911495382828,2.180359220625593,0.9821303759750215
78,1,0.77,0.22999999999999998,1.276669485018656,1.7228824613871754,2.1858894649581,0.9820519661921684
79,1,0.78,0.21999999999999997,1.2799854953031233,1.7267084567290067,2.1914977544059897,0.9819721634873193
80,1,0.79,0.20999999999999996,1.283345299819708,1.7305925519393104,2.1971739997154893,0.981890967860474
81,1,0.8,0.19999999999999996,1.286759614419797,1.7345343567138052,2.202937062543971,0.9818083793116327
82,1,0.81,0.18999999999999995,1.2902246211801465,1.73853347851508,2.208786397835827,0.9817243978407952
83,1,0.8200000000000001,0.17999999999999994,1.2937285208261209,1.7425895227274055,2.2147023806423443,0.9816390234479616
84,1,0.8300000000000001,0.16999999999999993,1.297270805670497,1.7467020928095673,2.220680495064286,0.9815522561331319
85,1,0.84,0.16000000000000003,1.3008492134806677,1.7508707904456366,2.2267180774212987,0.9814640958963061
86,1,0.85,0.15000000000000002,1.3044683750340915,1.755095215693595,2.232821360840125,0.9813745427374843
87,1,0.86,0.14,1.3081263340474742,1.7593749671317307,2.2389901068413147,0.9812835966566662
88,1,0.87,0.13,1.311825381857547,1.7637096420027363,2.2452306584562427,0.9811912576538521
89,1,0.88,0.12,1.3155655609514112,1.768098836355444,2.2515402042595904,0.9810975257290419
90,1,0.89,0.10999999999999999,1.31934525318015,1.7725421451841255,2.2579135154460785,0.9810024008822354
91,1,0.9,0.09999999999999998,1.3231717746140628,1.7770391625653104,2.2643704811803946,0.9809058831134331
92,1,0.91,0.08999999999999997,1.3270302882585403,1.7815894817920626,2.2708785523151866,0.9808079724226344
93,1,0.92,0.07999999999999996,1.3309288960919485,1.7861926955056702,2.2774545277602583,0.9807086688098398
94,1,0.93,0.06999999999999995,1.3348720552470936,1.7908483958247068,2.2841016690730918,0.9806079722750489
95,1,0.9400000000000001,0.05999999999999994,1.338843728995102,1.7955561744714232,2.2907961443408875,0.9805058828182621
96,1,0.9500000000000001,0.04999999999999993,1.3428454727475232,1.8003156228954382,2.297542170085061,0.980402400439479
97,1,0.96,0.040000000000000036,1.346879044396584,1.8051263323946996,2.3043390499713414,0.9802975251386999
98,1,0.97,0.030000000000000027,1.3509512948695945,1.8099878942336884,2.311196532838441,0.9801912569159247
99,1,0.98,0.020000000000000018,1.3550525223139593,1.8148998997588477,2.318104432101115,0.9800835957711533
100,1,0.99,0.010000000000000009,1.3591883677327625,1.8198619405112193,2.3250724557553992,0.9799745417043859
101,1,1.0,0.0,1.3633639637078891,1.8248736083362755,2.3321073803876953,0.9798640947156223
102,2,0.36,0.64,1.6234043137863339,2.2044703102896106,2.766308713021842,0.9706138815271861
103,2,0.37,0.63,1.6234297676719316,2.204619018307545,2.7663793848349454,0.9706099167663041
104,2,0.35000000000000003,0.6499999999999999,1.6234374596807661,2.2043939177648246,2.7663355815118083,0.970615918153288
105,2,0.38,0.62,1.6235008207332484,2.204840027186419,2.7665293172571803,0.970604023870642
106,2,0.34,0.6599999999999999,1.6235215475334124,2.204389848251409,2.7664441601153724,0.9706160266446098
107,2,0.39,0.61,1.6236237984235418,2.2051333151872305,2.7667691434229615,0.9705962028402
108,2,0.33,0.6699999999999999,1.6236643093899583,2.2044581021498955,2.766653797617934,0.9706142070011514
109,2,0.4,0.6,1.6237979969565473,2.2054988534748734,2.7670908444546285,0.9705864536749776
110,2,0.32,0.6799999999999999,1.6238583170092389,2.2045986727429336,2.766950853127926,0.970610459222913
111,2,0.41000000000000003,0.59,1.6240385866178895,2.205936606132295,2.7675175100509843,0.9705747763749754
112,2,0.31,0.69,1.6240966912168562,2.204811546198591,2.7673185880390174,0.9706047833098944
113,2,0.42,0.5800000000000001,1.6243532042165763,2.206446530178125,2.7680665810434197,0.9705611709401929
114,2,0.3,0.7,1.6243829942750825,2.205096701577161,2.7677605295271106,0.9705971792620958
115,2,0.43,0.5700000000000001,1.624721109534307,2.207028575587739,2.768707622089611,0.9705456373706303
116,2,0.29,0.71,1.6247288724443416,2.2054541108414525,2.7683003456480497,0.9705876470795171
117,2,0.28,0.72,1.6251330133799933,2.2058837388705648,2.768934256523453,0.9705761867621583
118,2,0.44,0.56,1.625147167214381,2.207682685317737,2.769442010425207,0.9705281756662877
119,2,0.27,0.73,1.6255834752754224,2.2063855434771225,2.769641634260594,0.9705627983100193
120,2,0.45,0.55,1.6256186246528583,2.208408795333816,2.7702564232617193,0.9705087858271649
121,2,0.26,0.74,1.626080346251696,2.206959475427953,2.770421546620442,0.9705474817231002
122,2,0.46,0.54,1.6261541389607292,2.2092068346419973,2.7711779465893254,0.970487467853262
123,2,0.25,0.75,1.6266377260487326,2.2076054784681856,2.7712932061767943,0.9705302370014012
124,2,0.47000000000000003,0.53,1.6267378793487117,2.2100767253231743,2.772184602755573,0.9704642217445791
125,2,0.24,0.76,1.6272553942803585,2.208323489348742,2.7722620004121326,0.9705110641449219
126,2,0.48,0.52,1.6273758670480112,2.211018382570943,2.7732874137180423,0.9704390475011161
127,2,0.23,0.77,1.6279367415551607,2.2091134378571855,2.773340009209095,0.9704899631536625
128,2,0.49,0.51,1.628078074743962,2.2120317147326776,2.7744993293190774,0.9704119451228729
129,2,0.22,0.78,1.6286665002236242,2.2099752468519,2.7744996928368075,0.9704669340276232
130,2,0.5,0.5,1.6288411913259258,2.2131166233537902,2.7758100617836923,0.9703829146098497
131,2,0.21,0.79,1.629461784451793,2.2109088322995536,2.7757625754623994,0.9704419767668037
132,2,0.51,0.49,1.62967111375902,2.2142730032251463,2.7772278832258412,0.9703519559620463
133,2,0.2,0.8,1.6303229034149578,2.211914103315806,2.7771345276903383,0.970415091371204
