feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
temperature_f_t0,997111882.141922,13825,166185313.69032034,2304.1666666666665
temperature_f_lag_1,326985070.6911068,3918,54497511.781851135,653.0
temperature_f_window_24_mean,174557696.52074814,4102,29092949.42012469,683.6666666666666
hour_cos_t0,87623749.14538479,14115,14603958.190897465,2352.5
hour_sin_t0,57075307.95095062,15174,9512551.325158438,2529.0
hour_t0,54592187.92678642,9666,9098697.987797737,1611.0
temperature_f_window_24_max,30570251.47785473,1898,5095041.912975788,316.3333333333333
temperature_f_window_3_mean,26875121.95586729,2184,4479186.992644548,364.0
temperature_f_window_3_max,24002495.704458237,964,4000415.9507430396,160.66666666666666
day_of_year_cos_t0,20307795.896651268,11472,3384632.649441878,1912.0
temperature_f_lag_16,18749393.39666891,3664,3124898.8994448185,610.6666666666666
temperature_f_window_6_delta_from_mean,16481137.901637077,4278,2746856.3169395127,713.0
temperature_f_window_3_delta_from_mean,15849559.945213318,5443,2641593.3242022195,907.1666666666666
temperature_f_window_48_mean,13194988.62182331,1507,2199164.770303885,251.16666666666666
dew_point_f_t0,9289981.0088377,3194,1548330.1681396167,532.3333333333334
cond_fair_t0,9255859.796572685,4042,1542643.2994287808,673.6666666666666
wind_dir_cos_t0,7357202.226730347,7490,1226200.3711217244,1248.3333333333333
dew_point_f_window_3_mean,5339696.297120094,2931,889949.3828533491,488.5
temperature_f_window_3_min,4384133.850162506,1316,730688.9750270844,219.33333333333334
pressure_in_window_24_delta_from_mean,4275382.869423866,5468,712563.8115706444,911.3333333333334
dew_point_f_lag_1,3554603.105699539,1050,592433.8509499232,175.0
pressure_in_window_12_delta_from_mean,2801673.202627182,4447,466945.533771197,741.1666666666666
temperature_f_window_12_delta_from_mean,2783810.534473896,2307,463968.422412316,384.5
temperature_f_window_12_max,2289015.1117782593,1497,381502.5186297099,249.5
pressure_in_window_6_delta_from_mean,2188002.965581894,3718,364667.1609303157,619.6666666666666
wind_dir_sin_t0,2185978.912252903,5341,364329.8187088172,890.1666666666666
dew_point_f_lag_2,2148838.2087488174,1261,358139.70145813626,210.16666666666666
day_of_year_sin_t0,2119602.03017354,4541,353267.00502892333,756.8333333333334
humidity_pct_lag_16,1877056.7921133041,2388,312842.7986855507,398.0
temperature_f_window_12_min,1871269.8413743973,1002,311878.3068957329,167.0
